sentenece,label,llm_res,correct
真是大品牌，秒连手机~通话声音清晰，接收蓝牙信号强大，比我原来的品*耳机音质好，信号好，唯一不好就是听歌无法用耳机转换~,Negative,Positive,False
忽略不计的小瑕疵。总的来说低音很不错，音质可以。然而扫码关注官方公众号后查询不了真伪，客服说系统有故障??.199买的，优惠好多才买,Positive,Negative,False
拿到手时总内存28.9g，可用28.9g。下了个软件测试，总觉得跟官方说的读取80m/s不太对啊，不知道是不是我理解错误了～懂的买家解释一下。不过应该是正品。内存卡真的好贵啊！金士顿的质量真的没话说，16g的用了三年了，一点问题都没有。（最后一张图盗用的）,Positive,Negative,False
耳机比较舒服，说明书比较坑，关机办法研究了半天，关机要按1秒，但实际上是3秒以上 ，按1s听到滴滴两声后不能松手，再等2s左右才说goodbye,Negative,Negative,True
音质听不出好坏，说点小缺点，耳塞在转动的时候会跟着一起转动。容易导致脱落。基本上锁**以后感觉不到带着耳机。物流配送一如即往的好,Negative,Negative,True
你们屏幕做的好一点？ 玩王者荣耀技能放不起 老子俩连跪,Negative,Negative,True
一分不能多，二十的贴膜表现不如几块的，而且贴不稳，谁买谁吃亏！！！,Negative,Negative,True
还是实话实说度就地解决,Positive,Negative,False
朋友托付买了送妈妈的。还没拆开。商城物流实在快！,Positive,Positive,True
买的时候说是当天下午三点前下单，当天就可以送达，我中午一点半下的单，但是还是第二天送来的。耳机不错，我这平民的耳朵听不出那么多花哨技巧来，听着音质挺好的。,Positive,Negative,False
效果不错 16g的 总之还是不错的 物超所值,Positive,Positive,True
质量很差，没几天就坏了，苹果充电线的小头断了，安卓的小头铁扣脱落，不开心。,Negative,Negative,True
宝贝刚刚到手半小时都没有 居然坏了 居然坏了 居然坏了 对你没有看错 重要的事情说三遍 你让我用一个礼拜我也不说什么了 半小时 半小时 半小时 就半个小时,Negative,Negative,True
品胜的线，说实话真是容易坏，这两年前前后后品胜的线用了至少7条，都是不超过两个月就坏，最近才知道一年之内线有问题，只要外观看不出破损的，都可以去换新，大家一定注意了。,Negative,Negative,True
差的一批，一直弹窗，而且动一点就充不进去了。,Negative,Negative,True
"质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物常让人满意，没想到这么好。推荐购买，性价比高，商家的服务态度很热情，而且提供了这么优质的商品，是个好卖家。我会一直关注店家，最后祝店家生意兴隆！全5星好评了物美价廉的实例就在眼前，心动不如行动，要买的朋友们，别犹豫了，上吧！",Positive,Positive,True
边框金属和屏幕接缝确实做的有点愣，手感没有苹果摸着舒服。所谓的曲面屏效果一般，黑色机身还好点。仔细看还是能看出屏幕黑边有点宽，原装膜只能说凑合。手机速度没的说可以的，自带Hifi感觉对我来说最大卖点了，谁听歌谁知道。画面分辨率和手机拍照像素确实清楚不少。可惜拍照还是屏幕泛红，不明白旗舰手机为啥还是6.0系统。性价比一般有点对不起这个价钱，有钱任性的小伙伴就无所谓了。机子绝对原装未拆封，送的东西不疼不痒。耗电有待考证，充电器倒是大的惊人。数据接口我就不喷了，感觉是个未完工的旗舰版。,Negative,Negative,True
没用过，先送上好评，过几天再好好研究!,Positive,Positive,True
